date,amount,category,subcategory,description,payment_mode
2026-06-03 09:05:03,35.6,Travel,Auto/E-Rickshaw,Auto to college,UPI
2025-12-20 15:59:33,58.39,Travel,Metro Fare,Paid for metro fare,UPI
2025-07-24 09:29:16,14.8,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-03-31 14:18:59,40.55,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2025-07-25 13:58:28,595.57,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2025-08-11 17:04:32,86.72,Food,Groceries,Paid for groceries,UPI
2026-02-21 16:25:44,29.35,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-01-05 13:36:51,222.79,Food,Groceries,Paid for groceries,UPI
2026-03-07 22:28:10,532.54,Shopping,Footwear,Paid for footwear,UPI
2025-11-16 18:39:22,839,Recharge,Mobile Data,Paid for mobile data,UPI
2026-05-28 09:01:52,24.49,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-04-03 17:05:54,12.32,Snacks,Tea/Coffee,Chai & biscuits,UPI
2026-06-23 14:49:12,153.81,Food,Zomato/Swiggy,Late night dessert,UPI
2025-12-22 17:36:51,219.64,Food,Groceries,Paid for groceries,UPI
2025-12-18 09:11:19,586.85,Shopping,Clothes,Paid for clothes,UPI
2026-01-05 09:00:30,839,Recharge,Mobile Data,Paid for mobile data,Credit Card
2026-02-08 10:21:10,528.52,Shopping,Footwear,Paid for footwear,UPI
2026-03-23 17:29:59,492.24,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Debit Card
2025-10-21 14:35:18,500,Medical,Doctor Consultation,Paid for doctor consultation,UPI
2025-08-21 19:13:55,320.74,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2025-08-24 20:16:25,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-06-10 17:45:27,259.86,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-06-03 15:43:13,34.99,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-03-31 08:40:25,112.08,Shopping,Toiletries,Paid for toiletries,Cash
2025-08-16 17:35:16,200.26,Entertainment,Movie Ticket,IMAX show,UPI
2026-05-06 17:08:43,149,Recharge,OTT Subscription,Paid for ott subscription,UPI
2025-12-30 22:21:37,649,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Credit Card
2026-01-21 12:44:26,1337.39,Shopping,Footwear,Paid for footwear,UPI
2025-08-26 18:44:48,442.98,Food,Zomato/Swiggy,Biryani order,Cash
2026-02-02 11:52:56,36.49,Travel,Metro Fare,Paid for metro fare,UPI
2026-04-24 18:49:48,442.59,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-12-09 16:08:52,28.33,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2025-08-22 14:05:58,32.21,Travel,Auto/E-Rickshaw,Rickshaw from metro station,UPI
2026-06-02 12:18:34,555.48,Food,Restaurant,Paid for restaurant,UPI
2026-06-04 17:29:44,266.55,Education,Stationery,Paid for stationery,UPI
2026-01-09 09:53:38,462.82,Food,Restaurant,Paid for restaurant,UPI
2026-03-25 19:46:24,387.27,Food,Zomato/Swiggy,Biryani order,UPI
2026-03-26 08:29:48,200,Medical,Doctor Consultation,Paid for doctor consultation,UPI
2025-07-08 22:09:54,1324.63,Travel,Train/Flight Home,Paid for train/flight home,UPI
2026-01-19 23:07:08,111.54,Food,Groceries,Paid for groceries,UPI
2026-05-10 14:25:29,227.38,Food,Groceries,Paid for groceries,Cash
2026-01-21 11:12:11,640.73,Food,Restaurant,Paid for restaurant,Debit Card
2025-07-13 22:32:02,63.76,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2025-09-05 15:24:52,899.81,Medical,First Aid,Paid for first aid,UPI
2026-06-19 21:57:24,131.92,Food,Groceries,Paid for groceries,UPI
2026-03-22 21:18:02,222.29,Entertainment,Movie Ticket,IMAX show,UPI
2026-03-13 16:38:43,253.72,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-09-15 12:09:57,42.5,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-04-22 16:59:12,107.55,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-04 13:23:38,1793.08,Shopping,Clothes,Paid for clothes,UPI
2026-04-23 20:39:30,289.61,Food,Zomato/Swiggy,Pizza party,Debit Card
2026-04-04 17:11:04,180.39,Food,Groceries,Paid for groceries,Credit Card
2026-03-13 19:49:32,1312.44,Education,Exam Registration,Paid for exam registration,UPI
2026-04-11 23:14:00,183.95,Entertainment,Movie Ticket,IMAX show,UPI
2026-05-10 09:10:01,202.89,Shopping,Toiletries,Paid for toiletries,Cash
2025-07-18 19:46:09,559.71,Food,Restaurant,Paid for restaurant,Cash
2026-04-29 08:02:26,609.91,Food,Restaurant,Paid for restaurant,UPI
2025-12-12 10:06:11,94.44,Food,Groceries,Paid for groceries,UPI
2026-03-31 12:09:16,1247.36,Shopping,Clothes,Paid for clothes,UPI
2025-11-14 14:23:25,464.34,Food,Restaurant,Paid for restaurant,Debit Card
2026-05-28 13:57:53,793.1,Food,Restaurant,Paid for restaurant,Credit Card
2026-06-29 21:45:35,30.16,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-01-26 13:01:52,738.98,Food,Restaurant,Paid for restaurant,UPI
2026-05-16 09:02:50,1220.28,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-01-28 16:58:00,310.46,Entertainment,Gaming Parlor,Paid for gaming parlor,Cash
2025-09-09 11:15:51,599.13,Food,Restaurant,Paid for restaurant,UPI
2026-06-07 20:07:31,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2026-05-14 17:59:31,604.12,Food,Restaurant,Paid for restaurant,UPI
2026-05-29 13:15:14,218.42,Food,Groceries,Paid for groceries,Cash
2026-04-19 16:21:16,150.73,Food,Zomato/Swiggy,Biryani order,UPI
2026-01-14 10:26:59,307.29,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-03-07 22:49:45,251.71,Food,Restaurant,Paid for restaurant,Credit Card
2026-03-06 08:27:36,381.4,Food,Zomato/Swiggy,Biryani order,UPI
2026-03-27 20:00:37,229.75,Food,Groceries,Paid for groceries,UPI
2026-02-12 18:33:12,34.9,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-04-29 23:40:49,192.75,Food,Groceries,Paid for groceries,UPI
2026-06-28 13:54:23,400.13,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,Cash
2026-06-05 16:52:28,1383.43,Education,Exam Registration,Paid for exam registration,UPI
2026-03-09 22:27:20,620.84,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-06-10 13:30:32,42.04,Travel,Auto/E-Rickshaw,Auto to college,UPI
2025-12-28 14:57:07,873.78,Shopping,Footwear,Paid for footwear,UPI
2026-06-18 19:39:21,52.96,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-04-08 23:38:16,5027.72,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-03-15 19:18:58,37.99,Travel,Metro Fare,Paid for metro fare,UPI
2026-01-15 21:47:11,593.57,Food,Restaurant,Paid for restaurant,UPI
2026-02-25 08:12:36,417.54,Food,Zomato/Swiggy,Late night dessert,Debit Card
2025-10-11 16:46:45,649,Entertainment,Netflix/Spotify,Paid for netflix/spotify,Debit Card
2026-03-22 15:11:58,738.07,Food,Restaurant,Paid for restaurant,Debit Card
2026-06-25 12:04:08,291.38,Food,Zomato/Swiggy,Late night dessert,Debit Card
2026-06-07 11:43:20,879.09,Shopping,Footwear,Paid for footwear,UPI
2026-06-19 13:15:50,359.84,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2025-12-20 23:24:49,159.08,Food,Groceries,Paid for groceries,UPI
2025-10-09 17:08:43,2176.5,Shopping,Footwear,Paid for footwear,Debit Card
2026-05-28 21:41:30,482.35,Entertainment,Movie Ticket,Movie with hostel mates,UPI
2026-04-30 12:04:04,21.14,Snacks,Maggi & Noodles,Paid for maggi & noodles,UPI
2026-02-12 13:25:13,200.08,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-04-16 12:31:28,1165.98,Education,Online Course,Paid for online course,UPI
2026-04-11 14:04:32,398.13,Shopping,Toiletries,Paid for toiletries,UPI
2026-06-25 14:19:47,1923.32,Shopping,Footwear,Paid for footwear,UPI
2026-05-16 08:18:56,867.03,Entertainment,Weekend Outing,Paid for weekend outing,Cash
2026-02-23 17:52:40,277.32,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-03-04 08:07:51,149,Entertainment,Netflix/Spotify,Paid for netflix/spotify,UPI
2025-08-12 15:25:38,322.29,Shopping,Toiletries,Paid for toiletries,UPI
2026-05-15 19:24:56,362.92,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2025-11-16 09:29:01,171.07,Shopping,Toiletries,Paid for toiletries,UPI
2026-02-09 19:44:30,301.55,Food,Restaurant,Paid for restaurant,UPI
2025-11-13 18:35:25,1084.19,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2026-01-20 08:38:29,299,Recharge,OTT Subscription,Paid for ott subscription,UPI
2026-05-07 15:55:52,149,Recharge,OTT Subscription,Paid for ott subscription,UPI
2025-12-07 22:34:35,207.49,Food,Zomato/Swiggy,Late night dessert,Cash
2026-06-06 14:12:40,12278.37,Shopping,Electronics,Paid for electronics,Debit Card
2026-04-17 21:11:41,37.86,Snacks,Maggi & Noodles,Paid for maggi & noodles,Cash
2026-02-28 11:57:36,698.17,Entertainment,Weekend Outing,Paid for weekend outing,Debit Card
2025-10-15 19:47:38,289.04,Food,Restaurant,Paid for restaurant,UPI
2026-06-25 18:03:05,1546.86,Entertainment,Weekend Outing,Paid for weekend outing,Credit Card
2026-01-26 11:16:27,137.41,Food,Groceries,Paid for groceries,UPI
2025-10-14 19:31:04,21.21,Travel,Metro Fare,Paid for metro fare,UPI
2026-04-01 21:19:57,202.92,Food,Zomato/Swiggy,Burger & Fries,UPI
2026-06-09 18:52:05,772.85,Food,Restaurant,Paid for restaurant,UPI
2026-02-26 19:50:59,6172.91,Travel,Train/Flight Home,Paid for train/flight home,Credit Card
2026-01-12 19:18:53,55.13,Shopping,Toiletries,Paid for toiletries,UPI
2025-12-29 09:09:07,21.14,Snacks,Tea/Coffee,Chai at tapri,UPI
2026-05-26 14:29:44,19.72,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2025-12-14 19:51:25,211.81,Entertainment,Gaming Parlor,Paid for gaming parlor,Debit Card
2026-01-18 23:57:58,1537.66,Entertainment,Weekend Outing,Paid for weekend outing,UPI
2025-09-26 17:23:27,547.37,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2026-03-18 21:29:45,173.13,Education,Stationery,Paid for stationery,Cash
2025-12-31 17:00:06,1284.72,Shopping,Footwear,Paid for footwear,Cash
2025-09-08 09:32:14,719,Recharge,Mobile Data,Paid for mobile data,UPI
2026-06-03 13:13:28,114.9,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-13 20:28:25,268.98,Travel,Uber/Ola Cab,Paid for uber/ola cab,UPI
2026-05-20 08:32:20,102.25,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-05-06 10:14:44,16.44,Snacks,Tea/Coffee,Cold coffee at canteen,Cash
2025-09-23 19:07:03,515.31,Food,Restaurant,Paid for restaurant,Debit Card
2026-05-25 17:18:37,12.82,Snacks,Tea/Coffee,Chai & biscuits,Cash
2026-04-09 23:19:47,797.36,Food,Restaurant,Paid for restaurant,UPI
2026-01-20 21:08:03,19.68,Travel,Auto/E-Rickshaw,Auto to college,UPI
2026-01-07 14:12:22,184.3,Education,Reference Books,Paid for reference books,UPI
2026-03-25 19:33:31,25.67,Snacks,Chips & Biscuits,Paid for chips & biscuits,UPI
2026-02-26 11:07:01,242.02,Food,Groceries,Paid for groceries,UPI
2026-05-08 20:28:23,10.8,Travel,Metro Fare,Paid for metro fare,UPI
2025-10-12 14:43:27,25.44,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2025-12-25 22:04:11,92.27,Food,Groceries,Paid for groceries,UPI
2026-02-09 09:04:53,791.88,Food,Restaurant,Paid for restaurant,Debit Card
2026-06-26 19:19:33,26.32,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-04-01 16:08:35,190.49,Entertainment,Gaming Parlor,Paid for gaming parlor,UPI
2025-10-21 18:24:37,3967.53,Education,Online Course,Paid for online course,UPI
2026-04-16 21:41:03,891.14,Medical,Pharmacy,Paid for pharmacy,UPI
2026-05-20 19:37:47,155.64,Food,Groceries,Paid for groceries,Debit Card
2026-04-21 22:12:24,405.14,Food,Zomato/Swiggy,Late night dessert,UPI
2025-11-28 16:25:34,35.88,Snacks,Tea/Coffee,Cold coffee at canteen,UPI
2026-04-08 14:09:09,710.94,Recharge,Hostel Wi-Fi,Paid for hostel wi-fi,UPI
2025-10-25 16:58:19,11.61,Travel,Metro Fare,Paid for metro fare,UPI
2025-11-19 20:56:56,57.72,Travel,Auto/E-Rickshaw,Shared auto to market,UPI
2026-01-21 19:20:55,101.27,Snacks,Juice & Shakes,Paid for juice & shakes,UPI
2026-06-13 08:21:53,393.68,Food,Zomato/Swiggy,Late night dessert,UPI
2026-01-30 10:36:55,402.08,Other,Laundry Services,Paid for laundry services,UPI
